Time,lat,long,speed
04:08:48 PM,33.03509484,-117.28300072,0
04:08:50 PM,33.03494273,-117.28300572,0.600000023841858
04:08:53 PM,33.03493552,-117.28300229,0.360000014305115
04:09:00 PM,33.03505431,-117.28292787,0
04:09:03 PM,33.03504043,-117.28293252,0
04:09:13 PM,33.03506684,-117.2829276,0
04:09:22 PM,33.03505893,-117.28297618,0.959999978542328
04:09:26 PM,33.03505013,-117.28301518,0.5799999833107
04:09:29 PM,33.03503268,-117.28301472,0.28999999165535
04:09:36 PM,33.03499539,-117.2830157,0.680000007152557
04:09:46 PM,33.03495885,-117.28315822,3.59999990463257
04:09:54 PM,33.03492036,-117.28348026,1.53999996185303
04:10:00 PM,33.03523133,-117.28363501,4.34000015258789
04:10:07 PM,33.03562124,-117.28341755,3.65000009536743
04:10:18 PM,33.03574909,-117.28401818,3.15000009536743
04:10:24 PM,33.03572674,-117.28419827,0.980000019073486
04:10:35 PM,33.03564134,-117.28427484,2.57999992370605
04:10:37 PM,33.03559557,-117.28428415,2.63000011444092
04:10:49 PM,33.03513978,-117.28414247,4.67000007629395
04:10:57 PM,33.03482069,-117.28407549,4.32000017166138
04:11:03 PM,33.03459316,-117.28402575,4.46999979019165
04:11:12 PM,33.0343525,-117.28375038,4.44000005722046
04:11:21 PM,33.03435681,-117.28323811,5.13000011444092
04:11:30 PM,33.03428473,-117.28282958,4.28000020980835
04:11:36 PM,33.03425697,-117.28251695,5.03000020980835
04:11:45 PM,33.03418143,-117.28208346,2.78999996185303
04:11:51 PM,33.03401669,-117.28202556,3.19000005722046
04:11:54 PM,33.03396475,-117.28196752,2.10999989509583
04:12:01 PM,33.03376807,-117.28202945,3.41000008583069
04:12:09 PM,33.03350133,-117.28189718,3.78999996185303
04:12:17 PM,33.03324188,-117.28154361,1.88999998569489
04:12:28 PM,33.03291595,-117.2816338,4.17999982833862
04:12:31 PM,33.03283066,-117.28163927,3.04999995231628
04:12:43 PM,33.03251319,-117.28147667,2.96000003814697
04:12:48 PM,33.03239683,-117.28151252,2.24000000953674
04:12:55 PM,33.03229863,-117.28164041,3.54999995231628
04:13:03 PM,33.03213595,-117.28192502,3.25999999046326
04:13:09 PM,33.03200105,-117.28211775,3
04:13:18 PM,33.03174299,-117.28226636,4.05999994277954
04:13:28 PM,33.0314075,-117.28242446,2.35999989509583
04:13:30 PM,33.03135237,-117.28240287,2.34999990463257
04:13:37 PM,33.03118362,-117.28234438,2.5699999332428
04:13:45 PM,33.03097598,-117.28231547,2.66000008583069
04:13:54 PM,33.03071084,-117.28232955,4.07000017166138
04:14:00 PM,33.03044201,-117.28236218,4.42999982833862
04:14:09 PM,33.02989063,-117.28227593,6.26000022888184
04:14:18 PM,33.02928972,-117.28228551,7.69000005722046
04:14:24 PM,33.02897512,-117.2823181,2
04:14:31 PM,33.02873727,-117.28233807,5.51000022888184
04:14:36 PM,33.02851907,-117.28234653,4.30000019073486
04:14:45 PM,33.02836073,-117.28245192,1.51999998092651
04:14:51 PM,33.02822788,-117.28230588,2.72000002861023
04:15:02 PM,33.02796506,-117.28221635,1.94000005722046
04:15:04 PM,33.02793606,-117.2822006,1.39999997615814
04:15:14 PM,33.02775982,-117.28213922,3.25999999046326
04:15:18 PM,33.02763335,-117.28209928,2.48000001907349
04:15:28 PM,33.02736299,-117.28199252,3.42000007629395
04:15:33 PM,33.02719996,-117.28190071,3.08999991416931
04:15:39 PM,33.02702384,-117.28179177,3.35999989509583
04:15:49 PM,33.02660122,-117.2813439,6.80000019073486
04:15:54 PM,33.02651508,-117.28113747,1.41999995708466
04:15:57 PM,33.02651996,-117.28106402,1.75
04:16:06 PM,33.0266005,-117.28088738,1.9099999666214
04:16:15 PM,33.02661928,-117.28067087,1.57000005245209
04:16:24 PM,33.0265937,-117.28049413,0.980000019073486
04:16:30 PM,33.02660741,-117.28041867,0.97000002861023
04:16:36 PM,33.02659443,-117.2803643,1.44000005722046
04:16:42 PM,33.0264891,-117.2803662,2.16000008583069
04:16:51 PM,33.02617265,-117.28064471,3.66000008583069
04:16:54 PM,33.02606522,-117.28065894,4.03999996185303
04:17:04 PM,33.02571411,-117.28072566,2.85999989509583
04:17:09 PM,33.02557806,-117.28074779,3.1800000667572
04:17:16 PM,33.02533782,-117.28112779,4.98999977111816
04:17:24 PM,33.02500375,-117.28090827,4.90999984741211
04:17:30 PM,33.02473971,-117.28072423,6.82999992370606
04:17:37 PM,33.02435212,-117.28048374,3.95000004768372
04:17:45 PM,33.02422225,-117.28041079,0.540000021457672
04:17:55 PM,33.02421414,-117.28049572,1.30999994277954
04:18:00 PM,33.02417676,-117.28037719,2.70000004768372
04:18:09 PM,33.02400412,-117.28018824,2.22000002861023
04:18:19 PM,33.02367694,-117.27995797,5.63000011444092
04:18:24 PM,33.02344597,-117.27979258,6.75
04:18:34 PM,33.02295918,-117.27944869,4.80999994277954
04:18:40 PM,33.02277761,-117.27933815,1.91999995708466
04:18:51 PM,33.02244293,-117.27917511,1.36000001430511
04:18:57 PM,33.02235891,-117.27903226,1.1599999666214
04:19:00 PM,33.02229876,-117.27899699,2.83999991416931
04:19:10 PM,33.02205713,-117.27885596,2.75
04:19:15 PM,33.02194067,-117.27876256,2.98000001907349
04:19:21 PM,33.02178741,-117.27865734,2.48000001907349
04:19:26 PM,33.02164652,-117.27858768,3.88000011444092
04:19:33 PM,33.0213955,-117.27847591,3.30999994277954
04:19:43 PM,33.02115785,-117.27830711,1.79999995231628
04:19:48 PM,33.02109441,-117.27824931,1.79999995231628
04:19:57 PM,33.02094768,-117.27814977,2.79999995231628
04:20:03 PM,33.02078664,-117.27803351,2.90000009536743
